-------------------------------------------------------------------------------------------,,,,,,
  Daily average atmospheric CO2 concentrations (ppm) derived from flask air samples        ,,,,,,
"  For La Jolla Pier, California: Latitude 32.9N Longitude 117.3W Elevation 10m",,,,,,
                                                                                           ,,,,,,
"   Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                 ",,,,,,
   Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      ,,,,,,
   Scripps Institution of Oceanography (SIO)                                               ,,,,,,
   University of California                                                                ,,,,,,
"   La Jolla, California USA 92093-0244                                                     ",,,,,,
                                                                                           ,,,,,,
   Status of data and correspondence:                                                      ,,,,,,
                                                                                           ,,,,,,
   These data are subject to revision based on recalibration of standard gases. Questions  ,,,,,,
   about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and          ,,,,,,
"   and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                  ",,,,,,
                                                                                           ,,,,,,
Flask data in this from archive dated 2015-02-18 09:55:07                                  ,,,,,,
                                                                                           ,,,,,,
-------------------------------------------------------------------------------------------,,,,,,
                                                                                           ,,,,,,
   Please cite as:                                                                         ,,,,,,
                                                                                           ,,,,,,
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     ",,,,,,
"   H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and ",,,,,,
"   oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps  ",,,,,,
"   Institution of Oceanography, San Diego, 88 pages, 2001.                                 ",,,,,,
                                                                                           ,,,,,,
"   If it is necessary to cite a peer-reviewed article, please cite as:                     ",,,,,,
                                                                                           ,,,,,,
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     ",,,,,,
"   H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and     ",,,,,,
"   oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,     ",,,,,,
"   in 'A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems',   ",,,,,,
"   editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,               ",,,,,,
"   New York, 2005.                                                                         ",,,,,,
                                                                                           ,,,,,,
-------------------------------------------------------------------------------------------,,,,,,
"   Sampling dates are reported in 3 formats: Year, Month, Day, Hour and Minute             ",,,,,,
                                             M$Excel spreadsheet date format               ,,,,,,
                                             Decimal year and fractional year              ,,,,,,
 N   - Number of flasks used in daily average                                              ,,,,,,
                                                                                           ,,,,,,
                                                                                           ,,,,,,
 Averages for CO2 have been succesfully filtered by deviation from curve fit.              ,,,,,,
                                                                                           ,,,,,,
 FLG -   Flags                                                                             ,,,,,,
  -3 - Potentially Suspect Data Accepted                                                   ,,,,,,
  -2 - Accepted Continuous Value                                                           ,,,,,,
  -1 - Accepted Value retained although individual measurements deviated                   ,,,,,,
       by more than selected tolerance                                                     ,,,,,,
   0 - Accepted Value                                                                      ,,,,,,
   1 - Rejected during analysis                                                            ,,,,,,
   2 - Rejected unacceptably large flask-analyzer differences associated                   ,,,,,,
                with night sampling (used only at MLO between Dec 1962 and Sep 1968)       ,,,,,,
   3 - Rejected used continuous data instead                                               ,,,,,,
   4 - Rejected Replicates do not agree to selected tolerance                              ,,,,,,
   5 - Rejected Daily average deviates from fit by more than 3 standard deviations         ,,,,,,
   6 - Rejected to improve local distribution of data such as too many                     ,,,,,,
                data of generally poor quality (used only at two stations:                 ,,,,,,
                KUM Aug 1979 - Jun 1980 and LJO Apr 1979 - Sep 1985)                       ,,,,,,
   7 - Rejected Unsteady air at site (La Jolla only)                                       ,,,,,,
   8 - Rejected manually (see input/flag_flasks.csv)                                       ,,,,,,
                                                                                           ,,,,,,
  Cx - CO2 value (ppm)                                                                     ,,,,,,
          CO2 concentrations are measured on the '08A' Calibration Scale                   ,,,,,,
                                                                                           ,,,,,,
                                                                                           ,,,,,,
"   Sample,Sample,    Excel,   Sample, N,FLG,      Cx                                       ",,,,,,
Date,Hr,Excel,Year,Flasks,Flags,CO2
10/23/1968, 11:10,25134.47,1968.81,0,4,369.38
10/31/1968, 14:44,25142.61,1968.832,0,4,332.92
1/13/1969, 15:00,25216.62,1969.035,2,0,333
1/17/1969, 15:24,25220.64,1969.046,3,0,331.5
1/20/1969, 15:42,25223.65,1969.054,0,4,326.87
1/29/1969, 15:47,25232.66,1969.079,3,0,330.5
2/18/1969, 16:28,25252.69,1969.133,3,0,326.5
2/21/1969, 14:12,25255.59,1969.141,8,0,326.58
4/1/1969, 15:00,25294.62,1969.248,4,0,327.62
6/18/1969, 15:11,25372.63,1969.462,2,0,326
10/2/1969, 14:37,25478.61,1969.752,3,0,323.49
10/23/1969, 15:40,25499.65,1969.81,3,0,327.2
4/14/1970, 16:23,25672.68,1970.284,4,0,329.12
4/27/1970, 16:17,25685.68,1970.32,0,4,332.03
5/11/1970, 16:19,25699.68,1970.358,2,0,331.73
